"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"59",59,736161,2571,3808,2571,9,7,46,24,6,19,10,21,15,200,"Basketball Stars Weert","Basketba",736161,3808,3808,2571,27,21,34,22,7,21,6,26,14,200,"BV Leeuwarden","BV Leeuw",4.14,12.42,73,86,FALSE,TRUE,84.14,81.42,73.7372222222222,75.2377777777778,74,FALSE,74.4875,98.6486486486486,116.216216216216,-17.5675675675676,TRUE,0.507692307692308,0.277777777777778,0.202702702702703,0.107692307692308,0.590909090909091,0.222222222222222,0.189189189189189,0.381818181818182,0.665316748625976,0.274804743997686,0.0598785073763379,0.521739130434783,0.315789473684211,0.777777777777778
"60",60,736161,3808,3808,2571,27,21,34,22,7,21,6,26,14,200,"BV Leeuwarden","BV Leeuw",736161,2571,3808,2571,9,7,46,24,6,19,10,21,15,200,"Basketball Stars Weert","Basketba",12.42,4.14,86,73,TRUE,FALSE,81.42,84.14,75.2377777777778,73.7372222222222,74,FALSE,74.4875,116.216216216216,98.6486486486486,17.5675675675676,FALSE,0.590909090909091,0.222222222222222,0.189189189189189,0.381818181818182,0.507692307692308,0.277777777777778,0.202702702702703,0.107692307692308,0.504301394245031,0.311480272916049,0.18421833283892,0.647058823529412,0.333333333333333,0.777777777777778
"61",61,736162,3103,3103,3107,20,14,36,13,6,22,5,27,18,200,"Rotterdam Basketbal","Rotterda",736162,3107,3103,3107,12,7,41,21,9,28,11,35,14,200,"BS Leiden","BS Leide",9.2,5.52,58,76,FALSE,TRUE,85.2,88.52,79.98375,76.4402631578947,78,FALSE,78.2120065789474,74.3589743589744,97.4358974358974,-23.0769230769231,FALSE,0.379310344827586,0.125,0.230769230769231,0.241379310344828,0.5,0.289473684210526,0.179487179487179,0.101449275362319,0.535714285714286,0.327380952380952,0.136904761904762,0.361111111111111,0.272727272727273,0.7
"62",62,736162,3107,3103,3107,12,7,41,21,9,28,11,35,14,200,"BS Leiden","BS Leide",736162,3103,3103,3107,20,14,36,13,6,22,5,27,18,200,"Rotterdam Basketbal","Rotterda",5.52,9.2,76,58,TRUE,FALSE,88.52,85.2,76.4402631578947,79.98375,78,FALSE,78.2120065789474,97.4358974358974,74.3589743589744,23.0769230769231,TRUE,0.5,0.289473684210526,0.179487179487179,0.101449275362319,0.379310344827586,0.125,0.230769230769231,0.241379310344828,0.550187869028449,0.375738056897477,0.0740740740740741,0.51219512195122,0.321428571428571,0.583333333333333
"63",63,736163,8594,11480,8594,19,15,41,27,6,17,4,29,13,200,"Donar","Donar",736163,11480,11480,8594,16,11,35,18,6,20,7,26,18,200,"New Heroes","New Hero",8.74,7.36,87,65,TRUE,FALSE,79.74,80.36,76.1733333333333,73.9102777777778,75,FALSE,75.0418055555556,116,86.6666666666667,29.3333333333333,TRUE,0.620689655172414,0.133333333333333,0.173333333333333,0.258620689655172,0.490909090909091,0.194444444444444,0.24,0.2,0.614324243332334,0.254719808210968,0.130955948456698,0.658536585365854,0.352941176470588,0.789473684210526
"64",64,736163,11480,11480,8594,16,11,35,18,6,20,7,26,18,200,"New Heroes","New Hero",736163,8594,11480,8594,19,15,41,27,6,17,4,29,13,200,"Donar","Donar",7.36,8.74,65,87,FALSE,TRUE,80.36,79.74,73.9102777777778,76.1733333333333,75,FALSE,75.0418055555556,86.6666666666667,116,-29.3333333333333,FALSE,0.490909090909091,0.194444444444444,0.24,0.2,0.620689655172414,0.133333333333333,0.173333333333333,0.258620689655172,0.561257216164208,0.32071840923669,0.118024374599102,0.514285714285714,0.3,0.6875
"65",65,736164,2571,10757,2571,28,23,44,23,6,18,13,31,17,200,"Basketball Stars Weert","Basketba",736164,10757,10757,2571,24,20,39,12,11,30,17,21,15,200,"BC APOLLO Amsterdam","BC APOLL",12.88,11.04,87,77,TRUE,FALSE,91.88,95.04,78.3791176470588,77.6079166666667,78,FALSE,77.9935171568627,111.538461538462,98.7179487179487,12.8205128205128,TRUE,0.516129032258065,0.382352941176471,0.217948717948718,0.370967741935484,0.41304347826087,0.354166666666667,0.192307692307692,0.289855072463768,0.587606837606838,0.240384615384615,0.172008547008547,0.522727272727273,0.333333333333333,0.821428571428571
"66",66,736164,10757,10757,2571,24,20,39,12,11,30,17,21,15,200,"BC APOLLO Amsterdam","BC APOLL",736164,2571,10757,2571,28,23,44,23,6,18,13,31,17,200,"Basketball Stars Weert","Basketba",11.04,12.88,77,87,FALSE,TRUE,95.04,91.88,77.6079166666667,78.3791176470588,78,FALSE,77.9935171568627,98.7179487179487,111.538461538462,-12.8205128205128,FALSE,0.41304347826087,0.354166666666667,0.192307692307692,0.289855072463768,0.516129032258065,0.382352941176471,0.217948717948718,0.370967741935484,0.487256371814093,0.374812593703148,0.137931034482759,0.307692307692308,0.366666666666667,0.833333333333333
"67",67,736165,1771,1771,3103,27,16,34,20,10,24,6,30,18,200,"Landstede Basketbal","Landsted",736165,3103,1771,3103,12,10,37,17,9,27,7,22,17,200,"Rotterdam Basketbal","Rotterda",12.42,5.52,86,71,TRUE,FALSE,88.42,86.52,82,78.8275675675676,80,FALSE,80.4137837837838,107.5,88.75,18.75,FALSE,0.603448275862069,0.214285714285714,0.225,0.275862068965517,0.4765625,0.189189189189189,0.2125,0.15625,0.482817381425731,0.340812269241693,0.176370349332576,0.588235294117647,0.416666666666667,0.592592592592593
"68",68,736165,3103,1771,3103,12,10,37,17,9,27,7,22,17,200,"Rotterdam Basketbal","Rotterda",736165,1771,1771,3103,27,16,34,20,10,24,6,30,18,200,"Landstede Basketbal","Landsted",5.52,12.42,71,86,FALSE,TRUE,86.52,88.42,78.8275675675676,82,80,FALSE,80.4137837837838,88.75,107.5,-18.75,TRUE,0.4765625,0.189189189189189,0.2125,0.15625,0.603448275862069,0.214285714285714,0.225,0.275862068965517,0.532220943613349,0.388377445339471,0.0794016110471807,0.459459459459459,0.333333333333333,0.833333333333333
