"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct","wed_ID..64","plg_ID..65","spl_Minuten","spl_FTA","spl_FTM","spl_FG2A","spl_FG2M","spl_FG3M","spl_FG3A","spl_OR","spl_DR","spl_TO","spl_ID","spl_PF","spl_Ast","spl_Stl","spl_Blk","spl_MinutesRatio","spl_Plays","spl_USGpct","spl_PTS","spl_PPP","spl_FTperFG","spl_FG3AperFG","spl_EFGpct","spl_TSpct","spl_Finishes","spl_Astpct","spl_TRpct","spl_DRpct","spl_ORpct","spl_Stlpct","spl_Blkpct"
"11",11,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,10,0,0,0,0,0,3,1,2,0,"11480 Stan van den Elzen",0,2,1,0,0.25,3,0.132684652808492,0,0,0,1,0,0,5,0.25,0.136363636363636,0.166666666666667,0.1,0.0525011894800742,0
"12",12,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,19,2,2,4,1,0,0,3,9,2,"11480 Nick  Oudendag",1,0,0,0,0.475,6.92,0.161083824111362,4,0.578034682080925,0.5,0,0.25,0.40650406504065,6.92,0,0.287081339712919,0.394736842105263,0.157894736842105,0,0
"13",13,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,19,4,4,9,5,1,2,1,1,1,"11480 Jonathon  Williams",1,2,3,0,0.475,13.84,0.322167648222724,17,1.22832369942197,0.363636363636364,0.181818181818182,0.590909090909091,0.661993769470405,15.84,0.217391304347826,0.0478468899521531,0.043859649122807,0.0526315789473684,0.0828966149685381,0
"14",14,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,20,2,2,5,2,2,6,0,3,1,"11480 Keshun  Sherrill",1,2,0,0,0.5,12.92,0.285714285714286,12,0.928792569659443,0.181818181818182,0.545454545454545,0.454545454545455,0.503355704697987,14.92,0.166666666666667,0.0681818181818182,0.125,0,0,0
"15",15,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,21,0,0,6,6,0,0,5,3,1,"11480 Roel  Aarts",4,0,2,0,0.525,7,0.147427392009435,12,1.71428571428571,0,0,1,1,7,0,0.173160173160173,0.119047619047619,0.238095238095238,0.0500011328381659,0
"16",16,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,22,0,0,3,1,1,3,0,2,0,"11480 Maarten  Bouwknecht",0,5,1,0,0.55,6,0.120622411644083,5,0.833333333333333,0,0.5,0.416666666666667,0.416666666666667,11,0.32051282051282,0.0413223140495868,0.0757575757575757,0,0.0238641770363973,0
"17",17,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,25,2,2,3,3,3,7,0,6,1,"11480 Jessey  Voorn",0,2,3,0,0.625,11.92,0.210880141530296,17,1.4261744966443,0.2,0.7,0.75,0.778388278388278,13.92,0.142857142857143,0.109090909090909,0.2,0,0.063001427376089,0
"18",18,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,27,2,1,3,2,2,3,1,5,3,"11480 Steven  Cook",1,1,0,0,0.675,9.92,0.162497747637067,11,1.10887096774194,0.333333333333333,0.5,0.833333333333333,0.794797687861272,10.92,0.0568181818181818,0.101010101010101,0.154320987654321,0.037037037037037,0,0
"19",19,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,27,2,2,7,1,0,1,2,2,0,"11480 Payton  Henson",3,0,0,0,0.675,8.92,0.146116926302685,4,0.448430493273543,0.25,0.125,0.125,0.224215246636771,8.92,0,0.0673400673400673,0.0617283950617284,0.0740740740740741,0,0
"20",20,804644,8594,11993,8594,12,10,39,28,8,25,10,27,10,200,"Donar Groningen","Donar Gr",804644,11993,11993,8594,6,3,27,13,8,24,4,16,20,200,"Basketbal Academie Limburg","Basketba",5.52,2.76,90,53,TRUE,FALSE,79.52,73.76,67.9969230769231,69.618064516129,69,FALSE,68.807493796526,130.434782608696,76.8115942028985,53.6231884057971,TRUE,0.625,0.384615384615385,0.144927536231884,0.15625,0.490196078431373,0.129032258064516,0.289855072463768,0.0588235294117647,0.560989643268124,0.359608745684695,0.0794016110471807,0.717948717948718,0.32,0.833333333333333,804644,8594,12,0,0,2,2,1,1,0,3,1,"8594 Drago  Pasalic",2,2,0,0,0.3,4,0.167672702883971,7,1.75,0,0.333333333333333,1.16666666666667,1.16666666666667,6,0.256410256410256,0.175438596491228,0.32258064516129,0,0,0
