"";"wed_ID";"plg_ID";"wed_UitPloeg";"wed_ThuisPloeg";"FTA";"FTM";"FG2A";"FG2M";"FG3M";"FG3A";"OR";"DR";"TO";"Minuten";"plg_Name";"plg_ShortName";"opp_wed_ID";"opp_plg_ID";"opp_wed_UitPloeg";"opp_wed_ThuisPloeg";"opp_FTA";"opp_FTM";"opp_FG2A";"opp_FG2M";"opp_FG3M";"opp_FG3A";"opp_OR";"opp_DR";"opp_TO";"opp_Minuten";"opp_plg_Name";"opp_plg_ShortName";"FTtrips";"opp_FTtrips";"pts";"opp_pts";"Win";"Loss";"plays";"opp_plays";"ps";"opp_ps";"avgps";"WARNING";"pace";"Ortg";"Drtg";"Nrtg";"Home";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f";"FG2Apct";"FG3Apct";"FTTpct";"FG2pct";"FG3pct";"FTpct"
"262";822489;12693;12693;3808;12;6;31;19;12;31;4;28;16;200;"Dutch Windmills";"Dutch Wi";822489;3808;12693;3808;22;14;39;15;10;24;12;34;19;200;"BV Leeuwarden";"BV Leeuw";5,52;10,12;80;74;TRUE;FALSE;83,52;92,12;80,0284210526316;79,922;80;FALSE;79,9752105263158;100;92,5;7,5;FALSE;0,596774193548387;0,105263157894737;0,2;0,0967741935483871;0,476190476190476;0,3;0,2375;0,222222222222222;0,459123222748815;0,459123222748815;0,0817535545023697;0,612903225806452;0,387096774193548;0,5
"263";822490;11480;11480;12693;9;7;43;25;8;19;9;29;8;200;"Dukes Unlimited";"Dukes Un";822490;12693;11480;12693;5;4;34;17;7;27;11;22;13;200;"Dutch Windmills";"Dutch Wi";4,14;2,3;81;59;TRUE;FALSE;74,14;76,3;65,1312903225806;65,41275;65;FALSE;65,2720201612903;124,615384615385;90,7692307692308;33,8461538461538;FALSE;0,596774193548387;0,290322580645161;0,123076923076923;0,112903225806452;0,450819672131148;0,275;0,2;0,0655737704918033;0,65013607499244;0,287269428485032;0,062594496522528;0,581395348837209;0,421052631578947;0,777777777777778
"264";822490;12693;11480;12693;5;4;34;17;7;27;11;22;13;200;"Dutch Windmills";"Dutch Wi";822490;11480;11480;12693;9;7;43;25;8;19;9;29;8;200;"Dukes Unlimited";"Dukes Un";2,3;4,14;59;81;FALSE;TRUE;76,3;74,14;65,41275;65,1312903225806;65;FALSE;65,2720201612903;90,7692307692308;124,615384615385;-33,8461538461538;TRUE;0,450819672131148;0,275;0,2;0,0655737704918033;0,596774193548387;0,290322580645161;0,123076923076923;0,112903225806452;0,537124802527646;0,42654028436019;0,0363349131121643;0,5;0,259259259259259;0,8
"265";822491;8594;12693;8594;12;7;51;26;3;25;18;39;17;200;"Donar Groningen";"Donar Gr";822491;12693;12693;8594;19;16;34;16;7;31;3;25;12;200;"Dutch Windmills";"Dutch Wi";5,52;8,74;68;69;FALSE;TRUE;98,52;85,74;77,4683720930232;82,53;80;TRUE;79,9991860465116;85;86,25;-1,25;TRUE;0,401315789473684;0,418604651162791;0,2125;0,0921052631578947;0,407692307692308;0,0714285714285714;0,15;0,246153846153846;0,625613346418057;0,306673209028459;0,0677134445534838;0,509803921568627;0,12;0,583333333333333
"266";822491;12693;12693;8594;19;16;34;16;7;31;3;25;12;200;"Dutch Windmills";"Dutch Wi";822491;8594;12693;8594;12;7;51;26;3;25;18;39;17;200;"Donar Groningen";"Donar Gr";8,74;5,52;69;68;TRUE;FALSE;85,74;98,52;82,53;77,4683720930232;80;TRUE;79,9991860465116;86,25;85;1,25;FALSE;0,407692307692308;0,0714285714285714;0,15;0,246153846153846;0,401315789473684;0,418604651162791;0,2125;0,0921052631578947;0,461079468402495;0,420395985896393;0,118524545701112;0,470588235294118;0,225806451612903;0,842105263157895
"267";822492;1771;1771;12693;28;21;44;19;5;16;10;33;13;200;"Landstede Basketbal";"Landsted";822492;12693;1771;12693;11;9;43;22;8;26;8;28;11;200;"Dutch Windmills";"Dutch Wi";12,88;5,06;74;77;FALSE;TRUE;85,88;85,06;75,7431578947368;76,9175609756098;76;FALSE;76,3303594351733;97,3684210526316;101,315789473684;-3,94736842105263;FALSE;0,441666666666667;0,263157894736842;0,171052631578947;0,35;0,492753623188406;0,195121951219512;0,144736842105263;0,130434782608696;0,603732162458836;0,21953896816685;0,176728869374314;0,431818181818182;0,3125;0,75
"268";822492;12693;1771;12693;11;9;43;22;8;26;8;28;11;200;"Dutch Windmills";"Dutch Wi";822492;1771;1771;12693;28;21;44;19;5;16;10;33;13;200;"Landstede Basketbal";"Landsted";5,06;12,88;77;74;TRUE;FALSE;85,06;85,88;76,9175609756098;75,7431578947368;76;FALSE;76,3303594351733;101,315789473684;97,3684210526316;3,94736842105263;TRUE;0,492753623188406;0,195121951219512;0,144736842105263;0,130434782608696;0,441666666666667;0,263157894736842;0,171052631578947;0,35;0,580610315960032;0,351066702673508;0,0683229813664596;0,511627906976744;0,307692307692308;0,818181818181818
"269";822493;3107;3107;12693;26;17;45;22;6;15;9;29;12;200;"BS Leiden";"BS Leide";822493;12693;3107;12693;17;15;37;14;10;25;9;27;12;200;"Dutch Windmills";"Dutch Wi";11,96;7,82;79;73;TRUE;FALSE;83,96;81,82;75,4;72,19;74;FALSE;73,795;106,756756756757;98,6486486486486;8,10810810810811;FALSE;0,516666666666667;0,25;0,162162162162162;0,283333333333333;0,467741935483871;0,236842105263158;0,162162162162162;0,241935483870968;0,625347415230684;0,208449138410228;0,166203446359088;0,488888888888889;0,4;0,653846153846154
"270";822493;12693;3107;12693;17;15;37;14;10;25;9;27;12;200;"Dutch Windmills";"Dutch Wi";822493;3107;3107;12693;26;17;45;22;6;15;9;29;12;200;"BS Leiden";"BS Leide";7,82;11,96;73;79;FALSE;TRUE;81,82;83,96;72,19;75,4;74;FALSE;73,795;98,6486486486486;106,756756756757;-8,10810810810811;TRUE;0,467741935483871;0,236842105263158;0,162162162162162;0,241935483870968;0,516666666666667;0,25;0,162162162162162;0,283333333333333;0,529934116299055;0,358063592093956;0,112002291606989;0,378378378378378;0,4;0,882352941176471
"271";822494;3103;12693;3103;15;8;40;22;8;21;11;33;15;200;"Rotterdam Basketbal";"Rotterda";822494;12693;12693;3103;19;14;49;21;6;19;8;24;6;200;"Dutch Windmills";"Dutch Wi";6,9;8,74;76;74;TRUE;FALSE;82,9;82,74;72,4751428571429;74,18;73;FALSE;73,3275714285714;104,109589041096;101,369863013699;2,73972602739725;TRUE;0,557377049180328;0,314285714285714;0,205479452054795;0,131147540983607;0,441176470588235;0,195121951219512;0,0821917808219178;0,205882352941176;0,589101620029455;0,309278350515464;0,101620029455081;0,55;0,380952380952381;0,533333333333333
