"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"1",1,557253,3103,3103,8594,25,15,33,13,3,13,4,27,17,200,"Rotterdam Basketbal","Rotterda",557253,8594,3103,8594,28,14,52,20,2,18,20,32,12,200,"GasTerra Flames","GasTerra",11.5,12.88,50,60,FALSE,TRUE,74.5,94.88,70.9333333333333,73.0246808510638,72,FALSE,71.9790070921986,69.4444444444444,83.3333333333333,FALSE,-13.8888888888889,0.380434782608696,0.111111111111111,0.236111111111111,0.326086956521739,0.328571428571429,0.425531914893617,0.166666666666667,0.2,0.573913043478261,0.226086956521739,0.2,0.393939393939394,0.230769230769231,0.6
"2",2,557253,8594,3103,8594,28,14,52,20,2,18,20,32,12,200,"GasTerra Flames","GasTerra",557253,3103,3103,8594,25,15,33,13,3,13,4,27,17,200,"Rotterdam Basketbal","Rotterda",12.88,11.5,60,50,TRUE,FALSE,94.88,74.5,73.0246808510638,70.9333333333333,72,FALSE,71.9790070921986,83.3333333333333,69.4444444444444,TRUE,13.8888888888889,0.328571428571429,0.425531914893617,0.166666666666667,0.2,0.380434782608696,0.111111111111111,0.236111111111111,0.326086956521739,0.627413127413127,0.217181467181467,0.155405405405405,0.384615384615385,0.111111111111111,0.5
"3",3,557254,1771,2571,1771,20,11,36,16,11,24,8,40,16,200,"Landstede Basketbal","Landsted",557254,2571,2571,1771,11,8,39,13,4,19,8,28,20,200,"Basketball Stars Weert","Basketba",9.2,5.06,76,46,TRUE,FALSE,85.2,83.06,77.3533333333333,75.7483333333333,77,FALSE,76.5508333333333,98.7012987012987,59.7402597402597,TRUE,38.961038961039,0.541666666666667,0.222222222222222,0.207792207792208,0.183333333333333,0.327586206896552,0.166666666666667,0.25974025974026,0.137931034482759,0.520231213872832,0.346820809248555,0.132947976878613,0.444444444444444,0.458333333333333,0.55
"4",4,557254,2571,2571,1771,11,8,39,13,4,19,8,28,20,200,"Basketball Stars Weert","Basketba",557254,1771,2571,1771,20,11,36,16,11,24,8,40,16,200,"Landstede Basketbal","Landsted",5.06,9.2,46,76,FALSE,TRUE,83.06,85.2,75.7483333333333,77.3533333333333,77,FALSE,76.5508333333333,59.7402597402597,98.7012987012987,FALSE,-38.961038961039,0.327586206896552,0.166666666666667,0.25974025974026,0.137931034482759,0.541666666666667,0.222222222222222,0.207792207792208,0.183333333333333,0.618458610846813,0.301300348874088,0.0802410402790993,0.333333333333333,0.210526315789474,0.727272727272727
"5",5,557256,2393,2393,3107,33,21,43,21,8,19,9,24,9,200,"Matrixx Magixx","Matrixx ",557256,3107,2393,3107,23,17,47,20,7,17,17,28,13,200,"BS Leiden","BS Leide",15.18,10.58,87,78,TRUE,FALSE,86.18,87.58,77.5910810810811,71.1646341463415,74,TRUE,74.3778576137113,117.567567567568,105.405405405405,FALSE,12.1621621621622,0.532258064516129,0.243243243243243,0.121621621621622,0.338709677419355,0.4765625,0.414634146341463,0.175675675675676,0.265625,0.55713915522156,0.246177766260689,0.196683078517751,0.488372093023256,0.421052631578947,0.636363636363636
"6",6,557256,3107,2393,3107,23,17,47,20,7,17,17,28,13,200,"BS Leiden","BS Leide",557256,2393,2393,3107,33,21,43,21,8,19,9,24,9,200,"Matrixx Magixx","Matrixx ",10.58,15.18,78,87,FALSE,TRUE,87.58,86.18,71.1646341463415,77.5910810810811,74,TRUE,74.3778576137113,105.405405405405,117.567567567568,TRUE,-12.1621621621622,0.4765625,0.414634146341463,0.175675675675676,0.265625,0.532258064516129,0.243243243243243,0.121621621621622,0.338709677419355,0.630195762939126,0.227943148297131,0.141861088763744,0.425531914893617,0.411764705882353,0.739130434782609
"7",7,557257,2571,3107,2571,23,19,32,12,7,18,11,21,21,200,"Basketball Stars Weert","Basketba",557257,3107,3107,2571,26,17,34,22,5,16,7,24,15,200,"BS Leiden","BS Leide",10.58,11.96,64,76,FALSE,TRUE,81.58,76.96,71.1551428571429,70.8075,71,FALSE,70.9813214285714,90.1408450704225,107.042253521127,TRUE,-16.9014084507042,0.45,0.314285714285714,0.295774647887324,0.38,0.59,0.25,0.211267605633803,0.34,0.528227137669198,0.297127764938924,0.174645097391879,0.375,0.388888888888889,0.826086956521739
"8",8,557257,3107,3107,2571,26,17,34,22,5,16,7,24,15,200,"BS Leiden","BS Leide",557257,2571,3107,2571,23,19,32,12,7,18,11,21,21,200,"Basketball Stars Weert","Basketba",11.96,10.58,76,64,TRUE,FALSE,76.96,81.58,70.8075,71.1551428571429,71,FALSE,70.9813214285714,107.042253521127,90.1408450704225,FALSE,16.9014084507042,0.59,0.25,0.211267605633803,0.34,0.45,0.314285714285714,0.295774647887324,0.38,0.548741123305358,0.25823111684958,0.193027759845061,0.647058823529412,0.3125,0.653846153846154
"9",9,557258,2393,3138,2393,22,15,42,26,8,24,11,18,15,200,"Matrixx Magixx","Matrixx ",557258,3138,3138,2393,12,10,46,29,7,16,7,23,12,200,"BV Aris","BV Aris",10.12,5.52,91,89,TRUE,FALSE,91.12,79.52,80.0423529411765,71.7304,76,TRUE,75.8863764705882,119.736842105263,117.105263157895,TRUE,2.63157894736842,0.575757575757576,0.323529411764706,0.197368421052632,0.227272727272727,0.637096774193548,0.28,0.157894736842105,0.161290322580645,0.551760378349974,0.315291644771414,0.132947976878613,0.619047619047619,0.333333333333333,0.681818181818182
"10",10,557258,3138,3138,2393,12,10,46,29,7,16,7,23,12,200,"BV Aris","BV Aris",557258,2393,3138,2393,22,15,42,26,8,24,11,18,15,200,"Matrixx Magixx","Matrixx ",5.52,10.12,89,91,FALSE,TRUE,79.52,91.12,71.7304,80.0423529411765,76,TRUE,75.8863764705882,117.105263157895,119.736842105263,FALSE,-2.63157894736842,0.637096774193548,0.28,0.157894736842105,0.161290322580645,0.575757575757576,0.323529411764706,0.197368421052632,0.227272727272727,0.681279620853081,0.23696682464455,0.0817535545023697,0.630434782608696,0.4375,0.833333333333333
"11",11,557260,1771,1771,2823,16,11,42,19,6,21,12,24,13,200,"Landstede Basketbal","Landsted",557260,2823,1771,2823,22,13,44,27,2,18,12,28,9,200,"EBBC","EBBC",7.36,10.12,67,73,FALSE,TRUE,83.36,81.12,71.162,69.35,70,FALSE,70.256,95.7142857142857,104.285714285714,FALSE,-8.57142857142858,0.444444444444444,0.3,0.185714285714286,0.174603174603175,0.483870967741935,0.333333333333333,0.128571428571429,0.209677419354839,0.596930073905628,0.298465036952814,0.104604889141558,0.452380952380952,0.285714285714286,0.6875
"12",12,557260,2823,1771,2823,22,13,44,27,2,18,12,28,9,200,"EBBC","EBBC",557260,1771,1771,2823,16,11,42,19,6,21,12,24,13,200,"Landstede Basketbal","Landsted",10.12,7.36,73,67,TRUE,FALSE,81.12,83.36,69.35,71.162,70,FALSE,70.256,104.285714285714,95.7142857142857,TRUE,8.57142857142858,0.483870967741935,0.333333333333333,0.128571428571429,0.209677419354839,0.444444444444444,0.3,0.185714285714286,0.174603174603175,0.610094287298946,0.249584026622296,0.140321686078758,0.613636363636364,0.111111111111111,0.590909090909091
"13",13,557261,2393,2393,8594,20,8,50,23,4,23,15,19,8,200,"Matrixx Magixx","Matrixx ",557261,8594,2393,8594,15,11,51,30,4,20,15,35,10,200,"GasTerra Flames","GasTerra",9.2,6.9,66,83,FALSE,TRUE,90.2,87.9,75.434,70.4338235294118,73,TRUE,72.9339117647059,90.4109589041096,113.698630136986,FALSE,-23.2876712328767,0.397260273972603,0.3,0.10958904109589,0.10958904109589,0.507042253521127,0.441176470588235,0.136986301369863,0.154929577464789,0.608272506082725,0.279805352798054,0.111922141119221,0.46,0.173913043478261,0.4
