"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct","wed_ID.1","plg_ID.1","spl_Minuten","spl_FTA","spl_FTM","spl_FG2A","spl_FG2M","spl_FG3M","spl_FG3A","spl_OR","spl_DR","spl_TO","spl_ID","spl_PF","spl_Ast","spl_Stl","spl_Blk","spl_MinutesRatio","spl_Plays","spl_USGpct","spl_PTS","spl_PPP","spl_FTperFG","spl_FG3AperFG","spl_EFGpct","spl_TSpct","spl_Finishes","spl_Astpct","spl_TRpct","spl_DRpct","spl_ORpct","spl_Stlpct","spl_Blkpct"
"1",1,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,6,0,0,1,1,0,1,0,0,1,"1771 Srdjan  Mladenovic",1,1,0,0,0.15,3,0.225225225225225,2,0.666666666666667,0,0.5,0.5,0.5,4,0.408163265306123,0,0,0,0,0
"2",2,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,7,0,0,0,0,0,0,2,1,0,"1771 Jelte  Helfferich",0,0,1,0,0.175,0,0,0,NA,NA,NA,NA,NA,0,0,0.248447204968944,0.173160173160173,0.317460317460317,0.0636895654779395,0
"3",3,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,9,0,0,1,0,0,0,1,0,0,"1771 Merlijn van der Meulen",1,0,1,0,0.225,1,0.05005005005005,0,0,0,0,0,0,1,0,0.0644122383252818,0,0.123456790123457,0.0495363287050641,0
"4",4,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,10,2,2,2,0,0,0,0,1,1,"1771 Florian de Vries",3,0,1,0,0.25,3.92,0.176576576576577,2,0.510204081632653,1,0,0,0.342465753424658,3.92,0,0.0579710144927536,0.121212121212121,0,0.0445826958345577,0
"5",5,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,14,0,0,2,2,0,1,1,1,1,"1771 Jesper  Jobse",2,0,1,0,0.35,4,0.128700128700129,4,1,0,0.333333333333333,0.666666666666667,0.666666666666667,4,0,0.082815734989648,0.0865800865800866,0.0793650793650794,0.0318447827389698,0
"6",6,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,14,2,1,0,0,0,0,0,1,0,"1771 Arno  Bunnig",1,0,0,1,0.35,0.92,0.0296010296010296,1,1.08695652173913,Inf,NA,NA,0.543478260869565,0.92,0,0.041407867494824,0.0865800865800866,0,0,0.0484261501210654
"7",7,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,15,6,2,3,0,0,0,1,0,0,"1771 Dario  Ribeiro de Carvalho",5,0,1,0,0.375,5.76,0.172972972972973,2,0.347222222222222,2,0,0,0.173611111111111,5.76,0,0.0386473429951691,0,0.0740740740740741,0.0297217972230385,0
"8",8,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,23,1,0,2,1,0,1,0,2,4,"1771 Alexandre de Sa",2,0,1,0,0.575,7.46,0.146102624363494,2,0.268096514745308,0.333333333333333,0.333333333333333,0.333333333333333,0.289017341040462,7.46,0,0.0504095778197858,0.105401844532279,0,0.0193837807976338,0
"9",9,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,31,6,5,11,8,0,2,1,5,6,"1771 Larry  Gordon",4,2,2,0,0.775,21.76,0.316187154896832,21,0.965073529411765,0.461538461538462,0.153846153846154,0.615384615384615,0.666243654822335,23.76,0.203562340966921,0.112201963534362,0.195503421309873,0.03584229390681,0.0287630295706824,0
"10",10,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333,476805,1771,33,5,5,7,3,3,8,1,4,7,"1771 Larry  Cunningham",0,1,2,1,0.825,24.3,0.331695331695332,20,0.823045267489712,0.333333333333333,0.533333333333333,0.5,0.578034682080925,25.3,0.0770712909441233,0.0878348704435661,0.14692378328742,0.0336700336700337,0.0270198156573077,0.0205444273240883
