"";"wed_ID";"plg_ID";"wed_UitPloeg";"wed_ThuisPloeg";"FTA";"FTM";"FG2A";"FG2M";"FG3M";"FG3A";"OR";"DR";"TO";"Minuten";"plg_Name";"plg_ShortName";"opp_wed_ID";"opp_plg_ID";"opp_wed_UitPloeg";"opp_wed_ThuisPloeg";"opp_FTA";"opp_FTM";"opp_FG2A";"opp_FG2M";"opp_FG3M";"opp_FG3A";"opp_OR";"opp_DR";"opp_TO";"opp_Minuten";"opp_plg_Name";"opp_plg_ShortName";"FTtrips";"opp_FTtrips";"pts";"opp_pts";"Win";"Loss";"plays";"opp_plays";"ps";"opp_ps";"avgps";"WARNING";"pace";"Ortg";"Drtg";"Home";"Nrtg";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f";"FG2Apct";"FG3Apct";"FTTpct";"FG2pct";"FG3pct";"FTpct"
"1";534619;2571;2571;8594;2;1;46;18;2;16;9;27;19;200;"Basketball Stars Weert";"Basketba";534619;8594;2571;8594;21;13;53;29;3;13;14;37;12;200;"GasTerra Flames";"GasTerra";0,92;9,66;43;80;FALSE;TRUE;81,92;87,66;73,1273913043478;75,2375609756098;74;FALSE;74,1824761399788;58,1081081081081;108,108108108108;FALSE;-50;0,338709677419355;0,195652173913043;0,256756756756757;0,0161290322580645;0,507575757575758;0,341463414634146;0,162162162162162;0,196969696969697;0,731087094723458;0,254291163382072;0,0146217418944692;0,391304347826087;0,125;0,5
"2";534619;8594;2571;8594;21;13;53;29;3;13;14;37;12;200;"GasTerra Flames";"GasTerra";534619;2571;2571;8594;2;1;46;18;2;16;9;27;19;200;"Basketball Stars Weert";"Basketba";9,66;0,92;80;43;TRUE;FALSE;87,66;81,92;75,2375609756098;73,1273913043478;74;FALSE;74,1824761399788;108,108108108108;58,1081081081081;TRUE;50;0,507575757575758;0,341463414634146;0,162162162162162;0,196969696969697;0,338709677419355;0,195652173913043;0,256756756756757;0,0161290322580645;0,700502246894;0,171821305841924;0,127676447264076;0,547169811320755;0,230769230769231;0,619047619047619
"3";534620;2823;6115;2823;33;27;26;16;12;26;5;27;12;200;"EBBC";"EBBC";534620;6115;6115;2823;28;13;38;24;6;30;20;20;12;200;"Giants Academy";"Giants A";15,18;12,88;95;79;TRUE;FALSE;79,18;92,88;74,044;75,5778723404255;75;FALSE;74,8109361702128;126,666666666667;105,333333333333;TRUE;21,3333333333333;0,653846153846154;0,2;0,16;0,519230769230769;0,485294117647059;0,425531914893617;0,16;0,191176470588235;0,387019946412623;0,387019946412623;0,225960107174754;0,615384615384615;0,461538461538462;0,818181818181818
"4";534620;6115;6115;2823;28;13;38;24;6;30;20;20;12;200;"Giants Academy";"Giants A";534620;2823;6115;2823;33;27;26;16;12;26;5;27;12;200;"EBBC";"EBBC";12,88;15,18;79;95;FALSE;TRUE;92,88;79,18;75,5778723404255;74,044;75;FALSE;74,8109361702128;105,333333333333;126,666666666667;FALSE;-21,3333333333333;0,485294117647059;0,425531914893617;0,16;0,191176470588235;0,653846153846154;0,2;0,16;0,519230769230769;0,469831849653808;0,370919881305638;0,159248269040554;0,631578947368421;0,2;0,464285714285714
"5";534621;2393;3138;2393;37;17;42;26;5;18;11;30;16;200;"Matrixx Magixx";"Matrixx ";534621;3138;3138;2393;25;20;35;21;3;20;8;22;16;200;"BV Aris";"BV Aris";17,02;11,5;84;71;TRUE;FALSE;93,02;82,5;82,6766666666667;75,5168421052632;79;TRUE;79,0967543859649;106,329113924051;89,873417721519;TRUE;16,4556962025316;0,558333333333333;0,333333333333333;0,20253164556962;0,283333333333333;0,463636363636364;0,210526315789474;0,20253164556962;0,363636363636364;0,545312905738769;0,233705531030901;0,22098156323033;0,619047619047619;0,277777777777778;0,459459459459459
"6";534621;3138;3138;2393;25;20;35;21;3;20;8;22;16;200;"BV Aris";"BV Aris";534621;2393;3138;2393;37;17;42;26;5;18;11;30;16;200;"Matrixx Magixx";"Matrixx ";11,5;17,02;71;84;FALSE;TRUE;82,5;93,02;75,5168421052632;82,6766666666667;79;TRUE;79,0967543859649;89,873417721519;106,329113924051;FALSE;-16,4556962025316;0,463636363636364;0,210526315789474;0,20253164556962;0,363636363636364;0,558333333333333;0,333333333333333;0,20253164556962;0,283333333333333;0,526315789473684;0,300751879699248;0,172932330827068;0,6;0,15;0,8
"7";534622;2571;8594;2571;32;25;35;19;8;16;6;35;26;200;"Basketball Stars Weert";"Basketba";534622;8594;8594;2571;22;13;61;26;4;14;16;22;13;200;"GasTerra Flames";"GasTerra";14,72;10,12;87;77;TRUE;FALSE;91,72;98,12;86,2171428571429;83,0141176470588;85;FALSE;84,6156302521008;102,352941176471;90,5882352941177;TRUE;11,7647058823529;0,607843137254902;0,214285714285714;0,305882352941176;0,490196078431373;0,426666666666667;0,313725490196078;0,152941176470588;0,173333333333333;0,532562385879489;0,243457090687766;0,223980523432745;0,542857142857143;0,5;0,78125
"8";534622;8594;8594;2571;22;13;61;26;4;14;16;22;13;200;"GasTerra Flames";"GasTerra";534622;2571;8594;2571;32;25;35;19;8;16;6;35;26;200;"Basketball Stars Weert";"Basketba";10,12;14,72;77;87;FALSE;TRUE;98,12;91,72;83,0141176470588;86,2171428571429;85;FALSE;84,6156302521008;90,5882352941177;102,352941176471;FALSE;-11,7647058823529;0,426666666666667;0,313725490196078;0,152941176470588;0,173333333333333;0,607843137254902;0,214285714285714;0,305882352941176;0,490196078431373;0,716635338345865;0,164473684210526;0,118890977443609;0,426229508196721;0,285714285714286;0,590909090909091
"9";534623;2823;2823;6115;15;9;39;19;8;22;11;26;13;200;"EBBC";"EBBC";534623;6115;2823;6115;22;12;41;25;5;23;15;26;11;200;"Giants Academy";"Giants A";6,9;10,12;71;77;FALSE;TRUE;80,9;85,12;70,0843243243243;71,810243902439;71;FALSE;70,9472841133817;100;108,450704225352;FALSE;-8,45070422535211;0,508196721311475;0,297297297297297;0,183098591549296;0,147540983606557;0,5078125;0,365853658536585;0,154929577464789;0,1875;0,574374079528719;0,3240058910162;0,101620029455081;0,487179487179487;0,363636363636364;0,6
"10";534623;6115;2823;6115;22;12;41;25;5;23;15;26;11;200;"Giants Academy";"Giants A";534623;2823;2823;6115;15;9;39;19;8;22;11;26;13;200;"EBBC";"EBBC";10,12;6,9;77;71;TRUE;FALSE;85,12;80,9;71,810243902439;70,0843243243243;71;FALSE;70,9472841133817;108,450704225352;100;TRUE;8,45070422535211;0,5078125;0,365853658536585;0,154929577464789;0,1875;0,508196721311475;0,297297297297297;0,183098591549296;0,147540983606557;0,553157042633567;0,310307609282245;0,136535348084188;0,609756097560976;0,217391304347826;0,545454545454545
