"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"11",11,626464,1771,2571,1771,25,19,47,27,3,8,9,27,16,200,"Landstede Basketbal","Landsted",626464,2571,2571,1771,8,5,26,10,9,26,9,21,28,200,"Basketball Stars Weert","Basketba",11.5,3.68,82,52,TRUE,FALSE,82.5,83.68,74.475,74.8525,75,FALSE,74.66375,109.333333333333,69.3333333333333,TRUE,40,0.572727272727273,0.3,0.213333333333333,0.345454545454545,0.451923076923077,0.25,0.373333333333333,0.0961538461538462,0.706766917293233,0.120300751879699,0.172932330827068,0.574468085106383,0.375,0.76
"12",12,626464,2571,2571,1771,8,5,26,10,9,26,9,21,28,200,"Basketball Stars Weert","Basketba",626464,1771,2571,1771,25,19,47,27,3,8,9,27,16,200,"Landstede Basketbal","Landsted",3.68,11.5,52,82,FALSE,TRUE,83.68,82.5,74.8525,74.475,75,FALSE,74.66375,69.3333333333333,109.333333333333,FALSE,-40,0.451923076923077,0.25,0.373333333333333,0.0961538461538462,0.572727272727273,0.3,0.213333333333333,0.345454545454545,0.466954022988506,0.466954022988506,0.0660919540229885,0.384615384615385,0.346153846153846,0.625
"13",13,626465,3103,3103,3138,23,15,49,31,7,15,6,17,20,200,"Rotterdam Basketbal","Rotterda",626465,3138,3103,3138,37,27,45,29,4,15,13,18,22,200,"BV Aris","BV Aris",10.58,17.02,98,97,TRUE,FALSE,94.58,99.02,87.625,86.501,87,FALSE,87.063,112.64367816092,111.494252873563,FALSE,1.14942528735632,0.6484375,0.25,0.229885057471264,0.234375,0.583333333333333,0.433333333333333,0.252873563218391,0.45,0.657012603915259,0.201126307320998,0.141861088763744,0.63265306122449,0.466666666666667,0.652173913043478
"14",14,626465,3138,3103,3138,37,27,45,29,4,15,13,18,22,200,"BV Aris","BV Aris",626465,3103,3103,3138,23,15,49,31,7,15,6,17,20,200,"Rotterdam Basketbal","Rotterda",17.02,10.58,97,98,FALSE,TRUE,99.02,94.58,86.501,87.625,87,FALSE,87.063,111.494252873563,112.64367816092,TRUE,-1.14942528735632,0.583333333333333,0.433333333333333,0.252873563218391,0.45,0.6484375,0.25,0.229885057471264,0.234375,0.584263827577253,0.194754609192418,0.22098156323033,0.644444444444444,0.266666666666667,0.72972972972973
"15",15,626466,3107,3107,3520,26,15,42,18,6,11,10,14,13,200,"BS Leiden","BS Leide",626466,3520,3107,3520,18,15,29,16,10,32,23,23,20,200,"Den Helder Kings Noordkop","Den Held",11.96,8.28,69,77,FALSE,TRUE,77.96,89.28,68.5569696969697,66.0002702702703,67,FALSE,67.27861998362,102.985074626866,114.925373134328,FALSE,-11.9402985074627,0.509433962264151,0.303030303030303,0.194029850746269,0.283018867924528,0.508196721311475,0.621621621621622,0.298507462686567,0.245901639344262,0.646551724137931,0.169334975369458,0.184113300492611,0.428571428571429,0.545454545454545,0.576923076923077
"16",16,626466,3520,3107,3520,18,15,29,16,10,32,23,23,20,200,"Den Helder Kings Noordkop","Den Held",626466,3107,3107,3520,26,15,42,18,6,11,10,14,13,200,"BS Leiden","BS Leide",8.28,11.96,77,69,TRUE,FALSE,89.28,77.96,66.0002702702703,68.5569696969697,67,FALSE,67.27861998362,114.925373134328,102.985074626866,TRUE,11.9402985074627,0.508196721311475,0.621621621621622,0.298507462686567,0.245901639344262,0.509433962264151,0.303030303030303,0.194029850746269,0.283018867924528,0.418591224018476,0.46189376443418,0.119515011547344,0.551724137931034,0.3125,0.833333333333333
"17",17,626468,2571,3138,2571,32,21,43,24,7,24,11,20,11,200,"Basketball Stars Weert","Basketba",626468,3138,3138,2571,20,13,53,27,8,18,17,30,14,200,"BV Aris","BV Aris",14.72,9.2,90,91,FALSE,TRUE,92.72,94.2,82.3853658536585,76.5016216216216,79,TRUE,79.4434937376401,113.924050632911,115.189873417722,TRUE,-1.26582278481013,0.514925373134328,0.268292682926829,0.139240506329114,0.313432835820896,0.549295774647887,0.459459459459459,0.177215189873418,0.183098591549296,0.526186979931473,0.293685756240822,0.180127263827704,0.558139534883721,0.291666666666667,0.65625
"18",18,626468,3138,3138,2571,20,13,53,27,8,18,17,30,14,200,"BV Aris","BV Aris",626468,2571,3138,2571,32,21,43,24,7,24,11,20,11,200,"Basketball Stars Weert","Basketba",9.2,14.72,91,90,TRUE,FALSE,94.2,92.72,76.5016216216216,82.3853658536585,79,TRUE,79.4434937376401,115.189873417722,113.924050632911,FALSE,1.26582278481013,0.549295774647887,0.459459459459459,0.177215189873418,0.183098591549296,0.514925373134328,0.268292682926829,0.139240506329114,0.313432835820896,0.660847880299252,0.224438902743142,0.114713216957606,0.509433962264151,0.444444444444444,0.65
"19",19,626469,2393,8594,2393,13,9,36,15,7,25,12,24,14,200,"Matrixx Magixx","Matrixx ",626469,8594,8594,2393,15,12,28,12,9,21,5,27,16,200,"GasTerra Flames","GasTerra",5.98,6.9,60,63,FALSE,TRUE,80.98,71.9,68.14,66.7344827586207,67,FALSE,67.4372413793104,89.5522388059701,94.0298507462687,TRUE,-4.4776119402985,0.418032786885246,0.307692307692308,0.208955223880597,0.147540983606557,0.520408163265306,0.172413793103448,0.238805970149254,0.244897959183673,0.53747387279785,0.373245744998507,0.0892803822036429,0.416666666666667,0.28,0.692307692307692
"20",20,626469,8594,8594,2393,15,12,28,12,9,21,5,27,16,200,"GasTerra Flames","GasTerra",626469,2393,8594,2393,13,9,36,15,7,25,12,24,14,200,"Matrixx Magixx","Matrixx ",6.9,5.98,63,60,TRUE,FALSE,71.9,80.98,66.7344827586207,68.14,67,FALSE,67.4372413793104,94.0298507462687,89.5522388059701,FALSE,4.4776119402985,0.520408163265306,0.172413793103448,0.238805970149254,0.244897959183673,0.418032786885246,0.307692307692308,0.208955223880597,0.147540983606557,0.500894454382827,0.37567084078712,0.123434704830054,0.428571428571429,0.428571428571429,0.8
"21",21,626470,1771,1771,3103,12,9,49,31,8,17,12,31,20,200,"Landstede Basketbal","Landsted",626470,3103,1771,3103,25,16,48,21,4,11,12,17,16,200,"Rotterdam Basketbal","Rotterda",5.52,11.5,95,70,TRUE,FALSE,91.52,86.5,79.5655172413793,76.3474418604651,78,FALSE,77.9564795509222,121.794871794872,89.7435897435897,FALSE,32.0512820512821,0.651515151515151,0.413793103448276,0.256410256410256,0.136363636363636,0.457627118644068,0.27906976744186,0.205128205128205,0.271186440677966,0.685123042505593,0.237695749440716,0.0771812080536913,0.63265306122449,0.470588235294118,0.75
