"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"1",1,768466,11480,11480,11993,16,10,42,25,7,18,9,30,14,200,"Dukes Unlimited","Dukes Un",768466,11993,11480,11993,13,8,49,20,5,19,14,27,13,200,"Basketbal Academie Limburg","Basketba",7.36,5.98,81,63,TRUE,FALSE,81.36,86.98,73.87,72.3404545454545,73,FALSE,73.1052272727273,110.958904109589,86.3013698630137,24.6575342465753,FALSE,0.591666666666667,0.25,0.191780821917808,0.166666666666667,0.404411764705882,0.318181818181818,0.178082191780822,0.117647058823529,0.623515439429929,0.267220902612827,0.109263657957245,0.595238095238095,0.388888888888889,0.625
"2",2,768466,11993,11480,11993,13,8,49,20,5,19,14,27,13,200,"Basketbal Academie Limburg","Basketba",768466,11480,11480,11993,16,10,42,25,7,18,9,30,14,200,"Dukes Unlimited","Dukes Un",5.98,7.36,63,81,FALSE,TRUE,86.98,81.36,72.3404545454545,73.87,73,FALSE,73.1052272727273,86.3013698630137,110.958904109589,-24.6575342465753,TRUE,0.404411764705882,0.318181818181818,0.178082191780822,0.117647058823529,0.591666666666667,0.25,0.191780821917808,0.166666666666667,0.662341173290078,0.256826169234928,0.0808326574749932,0.408163265306122,0.263157894736842,0.615384615384615
"3",3,768469,3520,3520,11480,9,8,41,21,5,18,10,25,17,200,"BV Noordkop","BV Noord",768469,11480,3520,11480,8,7,57,33,6,15,8,21,5,200,"Dukes Unlimited","Dukes Un",4.14,3.68,65,91,FALSE,TRUE,80.14,80.68,68.7496774193548,72.12,70,FALSE,70.4348387096774,92.8571428571429,130,-37.1428571428571,FALSE,0.483050847457627,0.32258064516129,0.242857142857143,0.135593220338983,0.583333333333333,0.242424242424242,0.0714285714285714,0.0972222222222222,0.649350649350649,0.285080772885651,0.0655685777636997,0.51219512195122,0.277777777777778,0.888888888888889
"4",4,768469,11480,3520,11480,8,7,57,33,6,15,8,21,5,200,"Dukes Unlimited","Dukes Un",768469,3520,3520,11480,9,8,41,21,5,18,10,25,17,200,"BV Noordkop","BV Noord",3.68,4.14,91,65,TRUE,FALSE,80.68,80.14,72.12,68.7496774193548,70,FALSE,70.4348387096774,130,92.8571428571429,37.1428571428571,TRUE,0.583333333333333,0.242424242424242,0.0714285714285714,0.0972222222222222,0.483050847457627,0.32258064516129,0.242857142857143,0.135593220338983,0.753171247357294,0.198202959830867,0.0486257928118393,0.578947368421053,0.4,0.875
"5",5,768472,1771,11480,1771,15,10,35,16,10,26,10,29,14,200,"Landstede Basketbal","Landsted",768472,11480,11480,1771,18,12,46,22,3,20,15,29,17,200,"Dukes Unlimited","Dukes Un",6.9,8.28,72,65,TRUE,FALSE,81.9,91.28,72.2974358974359,76.3243181818182,74,TRUE,74.310877039627,97.2972972972973,87.8378378378378,9.45945945945945,TRUE,0.508196721311475,0.256410256410256,0.189189189189189,0.163934426229508,0.401515151515151,0.340909090909091,0.22972972972973,0.181818181818182,0.515463917525773,0.382916053019146,0.101620029455081,0.457142857142857,0.384615384615385,0.666666666666667
"6",6,768472,11480,11480,1771,18,12,46,22,3,20,15,29,17,200,"Dukes Unlimited","Dukes Un",768472,1771,11480,1771,15,10,35,16,10,26,10,29,14,200,"Landstede Basketbal","Landsted",8.28,6.9,65,72,FALSE,TRUE,91.28,81.9,76.3243181818182,72.2974358974359,74,TRUE,74.310877039627,87.8378378378378,97.2972972972973,-9.45945945945945,FALSE,0.401515151515151,0.340909090909091,0.22972972972973,0.181818181818182,0.508196721311475,0.256410256410256,0.189189189189189,0.163934426229508,0.619278406031233,0.269251480883145,0.111470113085622,0.478260869565217,0.15,0.666666666666667
"7",7,768473,3808,3808,11480,9,7,54,17,2,13,9,22,14,200,"BV Leeuwarden","BV Leeuw",768473,11480,3808,11480,22,14,48,28,6,20,11,36,13,200,"Dukes Unlimited","Dukes Un",4.14,10.12,47,88,FALSE,TRUE,85.14,91.12,74.868,78.9933333333333,77,TRUE,76.9306666666667,61.038961038961,114.285714285714,-53.2467532467533,FALSE,0.298507462686567,0.2,0.181818181818182,0.104477611940299,0.544117647058823,0.333333333333333,0.168831168831169,0.205882352941176,0.759066629181895,0.182738262580827,0.0581951082372786,0.314814814814815,0.153846153846154,0.777777777777778
"8",8,768473,11480,3808,11480,22,14,48,28,6,20,11,36,13,200,"Dukes Unlimited","Dukes Un",768473,3808,3808,11480,9,7,54,17,2,13,9,22,14,200,"BV Leeuwarden","BV Leeuw",10.12,4.14,88,47,TRUE,FALSE,91.12,85.14,78.9933333333333,74.868,77,TRUE,76.9306666666667,114.285714285714,61.038961038961,53.2467532467533,TRUE,0.544117647058823,0.333333333333333,0.168831168831169,0.205882352941176,0.298507462686567,0.2,0.181818181818182,0.104477611940299,0.614439324116743,0.256016385048643,0.129544290834613,0.583333333333333,0.3,0.636363636363636
"9",9,768480,3103,3103,11480,17,12,43,22,4,16,10,30,17,200,"Rotterdam Basketbal","Rotterda",768480,11480,3103,11480,17,8,39,21,8,25,10,24,11,200,"Dukes Unlimited","Dukes Un",7.82,7.82,68,74,FALSE,TRUE,83.82,82.82,73.4347058823529,73.4575,73,FALSE,73.4461029411765,93.1506849315068,101.369863013699,-8.21917808219179,FALSE,0.474576271186441,0.294117647058824,0.232876712328767,0.203389830508475,0.515625,0.25,0.150684931506849,0.125,0.643519904220293,0.239449266686621,0.117030829093086,0.511627906976744,0.25,0.705882352941177
"10",10,768480,11480,3103,11480,17,8,39,21,8,25,10,24,11,200,"Dukes Unlimited","Dukes Un",768480,3103,3103,11480,17,12,43,22,4,16,10,30,17,200,"Rotterdam Basketbal","Rotterda",7.82,7.82,74,68,TRUE,FALSE,82.82,83.82,73.4575,73.4347058823529,73,FALSE,73.4461029411765,101.369863013699,93.1506849315068,8.21917808219179,TRUE,0.515625,0.25,0.150684931506849,0.125,0.474576271186441,0.294117647058824,0.232876712328767,0.203389830508475,0.543024227234754,0.348092453355611,0.108883319409635,0.538461538461538,0.32,0.470588235294118
"11",11,768485,3107,11480,3107,15,9,41,19,12,30,13,27,7,200,"BS Leiden","BS Leide",768485,11480,11480,3107,12,7,40,22,10,25,11,34,15,200,"Dukes Unlimited","Dukes Un",6.9,5.52,83,81,TRUE,FALSE,84.9,85.52,73.0617021276596,75.2986842105263,74,FALSE,74.1801931690929,112.162162162162,109.459459459459,2.70270270270271,TRUE,0.52112676056338,0.276595744680851,0.0945945945945946,0.126760563380282,0.569230769230769,0.289473684210526,0.202702702702703,0.107692307692308,0.526315789473684,0.385109114249037,0.0885750962772786,0.463414634146341,0.4,0.6
"12",12,768485,11480,11480,3107,12,7,40,22,10,25,11,34,15,200,"Dukes Unlimited","Dukes Un",768485,3107,11480,3107,15,9,41,19,12,30,13,27,7,200,"BS Leiden","BS Leide",5.52,6.9,81,83,FALSE,TRUE,85.52,84.9,75.2986842105263,73.0617021276596,74,FALSE,74.1801931690929,109.459459459459,112.162162162162,-2.70270270270271,FALSE,0.569230769230769,0.289473684210526,0.202702702702703,0.107692307692308,0.52112676056338,0.276595744680851,0.0945945945945946,0.126760563380282,0.567214974475326,0.354509359047079,0.078275666477595,0.55,0.4,0.583333333333333
"13",13,768488,10757,11480,10757,12,10,26,12,11,24,8,28,22,200,"BC APOLLO Amsterdam","BC APOLL",768488,11480,11480,10757,8,4,47,21,11,26,14,20,11,200,"Dukes Unlimited","Dukes Un",5.52,3.68,67,79,FALSE,TRUE,77.52,87.68,69.2657142857143,73.0566666666667,71,FALSE,71.1611904761905,94.3661971830986,111.267605633803,-16.9014084507042,TRUE,0.57,0.285714285714286,0.309859154929577,0.2,0.513698630136986,0.333333333333333,0.154929577464789,0.0547945205479452,0.468299711815562,0.432276657060519,0.0994236311239193,0.461538461538462,0.458333333333333,0.833333333333333
"14",14,768488,11480,11480,10757,8,4,47,21,11,26,14,20,11,200,"Dukes Unlimited","Dukes Un",768488,10757,11480,10757,12,10,26,12,11,24,8,28,22,200,"BC APOLLO Amsterdam","BC APOLL",3.68,5.52,79,67,TRUE,FALSE,87.68,77.52,73.0566666666667,69.2657142857143,71,FALSE,71.1611904761905,111.267605633803,94.3661971830986,16.9014084507042,FALSE,0.513698630136986,0.333333333333333,0.154929577464789,0.0547945205479452,0.57,0.285714285714286,0.309859154929577,0.2,0.612936880542514,0.339071465832029,0.0479916536254564,0.446808510638298,0.423076923076923,0.5
