"","plg_Name","W","L","pts","opp_pts","avgps","FG2M","FG3M","FG2A","FG3A","TO","OR","DR","FTM","FTA","opp_FG2M","opp_FG3M","opp_FG2A","opp_FG3A","opp_TO","opp_OR","opp_DR","opp_FTM","opp_FTA","Ortg","Drtg","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f"
"1","Basketball Stars Weert",4,24,1966,2283,2174,502,205,1056,699,504,302,717,347,488,605,206,1162,592,419,302,765,455,674,90.4323827046918,105.013799448022,-14.5814167433303,0.461253561253561,0.283036551077788,0.231830726770929,0.197720797720798,0.521094640820981,0.296368989205103,0.192732290708372,0.259407069555302
"2","BC APOLLO Amsterdam",9,19,2094,2294,2118,517,253,1049,780,380,292,709,301,465,591,255,1124,738,373,292,823,347,487,98.8668555240793,108.309726156752,-9.44287063267232,0.4901585565883,0.261883408071749,0.179414542020774,0.164570803717879,0.522824919441461,0.291708291708292,0.176109537299339,0.186358754027927
"3","BS Leiden",19,9,2032,1903,2066,553,209,1184,649,384,337,764,299,430,519,195,1064,661,447,337,807,280,427,98.3543078412391,92.1103581800581,6.24394966118102,0.472722313147845,0.29458041958042,0.185866408518877,0.163120567375887,0.470434782608696,0.306085376930064,0.216360116166505,0.16231884057971
"4","BV Leeuwarden",8,20,2088,2388,2126,541,212,1080,658,382,253,718,370,526,730,215,1346,649,338,253,776,283,399,98.2126058325494,112.323612417686,-14.1110065851364,0.494246260069045,0.245869776482021,0.179680150517404,0.212888377445339,0.527568922305764,0.260556127703399,0.15898400752587,0.141854636591479
"5","Donar",26,2,2337,1753,2089,663,219,1146,616,384,273,861,354,492,459,184,1082,631,437,273,648,283,427,111.871708951652,83.9157491622786,27.9559597893729,0.562712826333712,0.296416938110749,0.183820009573959,0.200908059023837,0.42907180385289,0.240740740740741,0.209191000478698,0.165207238762405
"6","Landstede Basketbal",20,8,2176,1947,2066,643,198,1158,608,399,285,775,296,447,496,219,1040,668,417,285,677,298,429,105.324298160697,94.2400774443369,11.0842207163601,0.532276330690827,0.296257796257796,0.193126815101646,0.167610419026048,0.482728337236534,0.268867924528302,0.201839303000968,0.174473067915691
"7","New Heroes",14,14,2081,2080,2044,593,189,1216,586,364,336,739,328,483,542,231,990,682,396,336,742,303,422,101.810176125245,101.761252446184,0.048923679060664,0.486403995560488,0.311688311688312,0.178082191780822,0.182019977802442,0.5313995215311,0.312558139534884,0.193737769080235,0.18122009569378
"8","Rotterdam Basketbal",12,16,2086,2212,2153,514,246,1063,697,433,236,748,320,450,584,226,1144,672,403,236,793,366,516,96.888063167673,102.740362285183,-5.85229911751046,0.501704545454545,0.229348882410107,0.201114723641431,0.181818181818182,0.508259911894273,0.239837398373984,0.187180678123549,0.201541850220264
