"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct","wed_ID.1","plg_ID.1","spl_Minuten","spl_FTA","spl_FTM","spl_FG2A","spl_FG2M","spl_FG3M","spl_FG3A","spl_OR","spl_DR","spl_TO","spl_ID","spl_PF","spl_Ast","spl_Stl","spl_Blk","spl_MinutesRatio","spl_Plays","spl_USGpct","spl_PTS","spl_PPP","spl_FTperFG","spl_FG3AperFG","spl_EFGpct","spl_TSpct","spl_Finishes","spl_Astpct","spl_TRpct","spl_DRpct","spl_ORpct","spl_Stlpct","spl_Blkpct"
"11",11,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,1,2,1,0,0,0,0,0,0,0,"3520 Dyon  Halman",0,0,0,0,0.025,0.92,0.458395615346288,1,1.08695652173913,Inf,NA,NA,0.543478260869565,0.92,0,0,0,0,0,0
"12",12,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,2,0,0,0,0,0,0,0,0,0,"3520 Steve  Bleeker",0,0,0,0,0.05,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"13",13,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,4,0,0,1,1,0,0,0,0,0,"3520 Kevin  Landman",0,0,1,0,0.1,1,0.124564025909317,2,2,0,0,1,1,1,0,0,0,0,0.151545329372949,0
"14",14,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,15,2,2,2,2,0,0,2,7,1,"3520 Quincy  Treffers",1,1,0,0,0.375,3.92,0.130210928417206,6,1.53061224489796,1,0,1,1.02739726027397,4.92,0.1,0.358208955223881,0.533333333333333,0.166666666666667,0,0
"15",15,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,18,2,2,1,1,2,6,0,1,1,"3520 Ties  Theeuwkens",3,1,1,0,0.45,8.92,0.246913580246914,10,1.12107623318386,0.285714285714286,0.857142857142857,0.571428571428571,0.631313131313131,9.92,0.087719298245614,0.033167495854063,0.0634920634920635,0,0.0336767398606553,0
"16",16,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,20,0,0,2,1,4,5,1,3,1,"3520 Raymond  Cowels",0,0,0,0,0.5,8,0.199302441454908,14,1.75,0,0.714285714285714,1,1,8,0,0.119402985074627,0.171428571428571,0.0625,0,0
"17",17,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,20,0,0,5,2,1,2,0,5,1,"3520 Jeroen van de List",1,2,1,2,0.5,8,0.199302441454908,7,0.875,0,0.285714285714286,0.5,0.5,10,0.153846153846154,0.149253731343284,0.285714285714286,0,0.0303090658745897,0.105263157894737
"18",18,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,20,2,0,3,3,0,1,2,3,1,"3520 Max van Schaik",1,1,1,0,0.5,5.92,0.147483806676632,6,1.01351351351351,0.5,0.25,0.75,0.609756097560976,6.92,0.0769230769230769,0.149253731343284,0.171428571428571,0.125,0.0303090658745897,0
"19",19,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,24,4,2,4,1,0,2,3,1,1,"3520 Phillip  Bach",2,4,1,0,0.6,8.84,0.183524331506394,4,0.452488687782805,0.666666666666667,0.333333333333333,0.166666666666667,0.255102040816327,12.84,0.21978021978022,0.0995024875621891,0.0476190476190476,0.15625,0.0252575548954915,0
"20",20,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667,626456,3520,24,4,3,8,6,0,0,3,5,2,"3520 Justin  Knox",1,1,0,1,0.6,11.84,0.245806344461053,15,1.26689189189189,0.5,0,0.75,0.76219512195122,12.84,0.0757575757575758,0.199004975124378,0.238095238095238,0.15625,0,0.043859649122807
