"";"plg_Name";"W";"L";"pts";"opp_pts";"avgps";"FG2M";"FG3M";"FG2A";"FG3A";"TO";"OR";"DR";"FTM";"FTA";"opp_FG2M";"opp_FG3M";"opp_FG2A";"opp_FG3A";"opp_TO";"opp_OR";"opp_DR";"opp_FTM";"opp_FTA";"Ortg";"Drtg";"Nrtg";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f"
"1";"Basketball Stars Weert";4;24;1765;2322;2102;507;145;1071;540;493;255;661;316;534;651;201;1203;580;395;255;802;417;565;83,9676498572788;110,4662226451;-26,4985727878211;0,449720670391061;0,241248817407758;0,23453853472883;0,196151458721291;0,53421200224341;0,278384279475983;0,187916270218839;0,233875490745934
"2";"BC APOLLO A'dam";5;23;1880;2297;2114;520;170;1109;601;464;298;661;330;493;588;222;1117;620;440;298;783;455;632;88,9309366130558;108,656575212867;-19,7256385998108;0,453216374269006;0,275670675300648;0,219489120151372;0,192982456140351;0,530224525043178;0,310740354535975;0,208136234626301;0,261945883707542
"3";"BS Leiden";22;6;2418;2006;2122;674;220;1186;636;434;334;685;410;551;546;157;1159;486;461;334;635;443;625;113,949104618285;94,5334590009425;19,4156456173421;0,551042810098793;0,34468524251806;0,204524033930254;0,225027442371021;0,475075987841945;0,327772325809617;0,217247879359095;0,269300911854103
"4";"BV Leeuwarden";8;20;2202;2464;2228;631;155;1226;488;505;286;733;475;615;743;190;1313;577;391;286;722;408;576;98,8330341113106;110,592459605027;-11,7594254937163;0,503792298716453;0,283730158730159;0,226660682226212;0,277129521586931;0,543915343915344;0,280667320902846;0,175493716337522;0,215873015873016
"5";"Dukes Unlimited";24;4;2374;1884;2096;668;185;1211;516;374;289;772;483;627;509;188;1082;597;483;289;652;302;420;113,263358778626;89,8854961832061;23,3778625954199;0,547481181239143;0,307120085015941;0,178435114503817;0,279675738274464;0,471113758189398;0,272384542884072;0,23043893129771;0,179868969624777
"6";"GasTerra Flames";21;7;2225;1903;2055;574;226;1008;639;448;300;696;399;566;514;167;1009;539;508;300;638;374;527;108,272506082725;92,6034063260341;15,669099756691;0,554341226472374;0,319829424307036;0,218004866180049;0,242258652094718;0,493863049095607;0,301204819277108;0,247201946472019;0,241602067183463
"7";"Landstede Basketbal";20;8;2233;1999;2086;634;198;1216;553;410;347;730;371;495;517;185;1018;600;520;347;647;410;576;107,046979865772;95,8293384467881;11,2176414189837;0,526286037309214;0,349094567404427;0,196548418024928;0,209723007348785;0,491038318912237;0,322191272051996;0,24928092042186;0,253399258343634
"8";"Rotterdam Basketbal";8;20;2204;2426;2179;554;216;1137;623;450;327;713;448;609;694;205;1263;597;380;327;772;423;569;101,14731528224;111,335474988527;-10,1881597062873;0,498863636363636;0,2975432211101;0,206516750803121;0,254545454545455;0,538440860215054;0,314423076923077;0,174391922900413;0,22741935483871
