"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"1",1,476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",13.8,12.88,68,113,FALSE,TRUE,88.8,101.88,81.0722222222222,89.7209090909091,85,TRUE,85.3965656565657,80,132.941176470588,FALSE,-52.9411764705882,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.573248407643312,0.207006369426752,0.219745222929936,0.555555555555556,0.230769230769231,0.633333333333333
"2",2,476805,8594,1771,8594,28,19,59,41,4,11,15,26,19,200,"GasTerra Flames","GasTerra",476805,1771,1771,8594,30,19,36,20,3,13,10,18,26,200,"Landstede Basketbal","Landsted",12.88,13.8,113,68,TRUE,FALSE,101.88,88.8,89.7209090909091,81.0722222222222,85,TRUE,85.3965656565657,132.941176470588,80,TRUE,52.9411764705882,0.671428571428571,0.454545454545455,0.223529411764706,0.271428571428571,0.5,0.277777777777778,0.305882352941176,0.387755102040816,0.711872586872587,0.132722007722008,0.155405405405405,0.694915254237288,0.363636363636364,0.678571428571429
"3",3,476806,2571,2571,3120,19,13,32,10,7,24,10,19,16,200,"Basketball Stars Weert","Basketba",476806,3120,2571,3120,25,17,35,22,5,13,5,31,18,200,"ABC Amsterdam","ABC Amst",8.74,11.5,54,76,FALSE,TRUE,80.74,77.5,70.5619512195122,72.81875,72,FALSE,71.6903506097561,75,105.555555555556,FALSE,-30.5555555555556,0.366071428571429,0.24390243902439,0.222222222222222,0.232142857142857,0.614583333333333,0.208333333333333,0.25,0.354166666666667,0.494284831634229,0.370713623725672,0.135001544640099,0.3125,0.291666666666667,0.684210526315789
"4",4,476806,3120,2571,3120,25,17,35,22,5,13,5,31,18,200,"ABC Amsterdam","ABC Amst",476806,2571,2571,3120,19,13,32,10,7,24,10,19,16,200,"Basketball Stars Weert","Basketba",11.5,8.74,76,54,TRUE,FALSE,77.5,80.74,72.81875,70.5619512195122,72,FALSE,71.6903506097561,105.555555555556,75,TRUE,30.5555555555556,0.614583333333333,0.208333333333333,0.25,0.354166666666667,0.366071428571429,0.24390243902439,0.222222222222222,0.232142857142857,0.588235294117647,0.218487394957983,0.19327731092437,0.628571428571429,0.384615384615385,0.68
"5",5,476807,3107,3107,3138,35,24,53,24,2,15,22,25,11,200,"BS Leiden","BS Leide",476807,3138,3107,3138,35,17,34,16,9,29,17,26,10,200,"BV Aris","BV Aris",16.1,16.1,78,76,TRUE,FALSE,95.1,89.1,74.5025,72.6423809523809,74,FALSE,73.5724404761905,105.405405405405,102.702702702703,FALSE,2.70270270270269,0.397058823529412,0.458333333333333,0.148648648648649,0.352941176470588,0.468253968253968,0.404761904761905,0.135135135135135,0.26984126984127,0.630202140309156,0.178359096313912,0.191438763376932,0.452830188679245,0.133333333333333,0.685714285714286
"6",6,476807,3138,3107,3138,35,17,34,16,9,29,17,26,10,200,"BV Aris","BV Aris",476807,3107,3107,3138,35,24,53,24,2,15,22,25,11,200,"BS Leiden","BS Leide",16.1,16.1,76,78,FALSE,TRUE,89.1,95.1,72.6423809523809,74.5025,74,FALSE,73.5724404761905,102.702702702703,105.405405405405,TRUE,-2.70270270270269,0.468253968253968,0.404761904761905,0.135135135135135,0.26984126984127,0.397058823529412,0.458333333333333,0.148648648648649,0.352941176470588,0.429835651074589,0.366624525916561,0.20353982300885,0.470588235294118,0.310344827586207,0.485714285714286
"7",7,476808,2393,2393,3103,25,14,37,19,8,15,10,19,12,200,"Matrixx Magixx","Matrixx ",476808,3103,2393,3103,10,7,52,27,1,13,24,23,15,200,"Rotterdam Basketbal","Rotterda",11.5,4.6,76,64,TRUE,FALSE,75.5,84.6,67.3939393939394,62.5032558139535,65,TRUE,64.9485976039464,116.923076923077,98.4615384615385,FALSE,18.4615384615385,0.596153846153846,0.303030303030303,0.184615384615385,0.269230769230769,0.438461538461538,0.558139534883721,0.230769230769231,0.107692307692308,0.582677165354331,0.236220472440945,0.181102362204724,0.513513513513513,0.533333333333333,0.56
"8",8,476808,3103,2393,3103,10,7,52,27,1,13,24,23,15,200,"Rotterdam Basketbal","Rotterda",476808,2393,2393,3103,25,14,37,19,8,15,10,19,12,200,"Matrixx Magixx","Matrixx ",4.6,11.5,64,76,FALSE,TRUE,84.6,75.5,62.5032558139535,67.3939393939394,65,TRUE,64.9485976039464,98.4615384615385,116.923076923077,TRUE,-18.4615384615385,0.438461538461538,0.558139534883721,0.230769230769231,0.107692307692308,0.596153846153846,0.303030303030303,0.184615384615385,0.269230769230769,0.747126436781609,0.186781609195402,0.0660919540229885,0.519230769230769,0.0769230769230769,0.7
"9",9,476809,2823,2823,6115,21,14,39,14,6,22,10,22,12,200,"EBBC","EBBC",476809,6115,2823,6115,9,4,34,19,13,27,11,34,14,200,"Giants Academy","Giants A",9.66,4.14,60,81,FALSE,TRUE,82.66,79.14,72.6895454545455,68.7966666666667,71,FALSE,70.7431060606061,84.5070422535211,114.084507042254,FALSE,-29.5774647887324,0.377049180327869,0.227272727272727,0.169014084507042,0.229508196721311,0.631147540983607,0.333333333333333,0.197183098591549,0.0655737704918033,0.551938862156807,0.311350127370507,0.136711010472686,0.358974358974359,0.272727272727273,0.666666666666667
"10",10,476809,6115,2823,6115,9,4,34,19,13,27,11,34,14,200,"Giants Academy","Giants A",476809,2823,2823,6115,21,14,39,14,6,22,10,22,12,200,"EBBC","EBBC",4.14,9.66,81,60,TRUE,FALSE,79.14,82.66,68.7966666666667,72.6895454545455,71,FALSE,70.7431060606061,114.084507042254,84.5070422535211,TRUE,29.5774647887324,0.631147540983607,0.333333333333333,0.197183098591549,0.0655737704918033,0.377049180327869,0.227272727272727,0.169014084507042,0.229508196721311,0.52195271722444,0.414491863678231,0.0635554190973288,0.558823529411765,0.481481481481481,0.444444444444444
