"","plg_Name","W","L","pts","opp_pts","avgps","FG2M","FG3M","FG2A","FG3A","TO","OR","DR","FTM","FTA","opp_FG2M","opp_FG3M","opp_FG2A","opp_FG3A","opp_TO","opp_OR","opp_DR","opp_FTM","opp_FTA","Ortg","Drtg","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f"
"1","Basketbal Academie Limburg",5,27,2255,2598,2498,654,171,1473,627,564,403,794,434,637,727,223,1346,649,502,403,894,475,656,90.2722177742194,104.00320256205,-13.7309847878303,0.433571428571429,0.310717039321511,0.2257806244996,0.206666666666667,0.532080200501253,0.336675020885547,0.200960768614892,0.238095238095238
"2","BC APOLLO Amsterdam",10,22,2357,2579,2391,562,279,1124,927,425,347,864,396,587,716,251,1438,712,365,347,942,394,549,98.5780008364701,107.862818904224,-9.28481806775407,0.478059483178937,0.269200930954228,0.177749895441238,0.193076548025353,0.508139534883721,0.28654004954583,0.152655792555416,0.183255813953488
"3","BS Leiden",24,8,2597,2293,2429,708,276,1346,843,376,371,861,353,523,589,259,1184,790,544,371,903,338,471,106.916426512968,94.4009880609304,12.5154384520379,0.512562814070352,0.291208791208791,0.1547962124331,0.161260849703061,0.495187436676798,0.301136363636364,0.223960477562783,0.171225937183384
"4","BV Leeuwarden",8,24,2150,2568,2343,597,204,1270,695,397,246,781,344,484,669,257,1338,738,385,246,971,459,638,91.7626973965002,109.603072983355,-17.8403755868545,0.459541984732824,0.202136400986031,0.169440887750747,0.175063613231552,0.507947976878613,0.239532619279455,0.164319248826291,0.221098265895954
"5","BV Noordkop",6,26,2165,2673,2352,600,213,1299,600,489,229,845,326,429,761,270,1360,818,323,229,882,341,476,92.0493197278912,113.647959183673,-21.5986394557823,0.484202211690363,0.206120612061206,0.207908163265306,0.171669299631385,0.535353535353535,0.213221601489758,0.137329931972789,0.156565656565657
"6","Donar Groningen",29,3,2767,2069,2410,700,319,1227,871,436,355,1040,410,527,567,220,1319,730,465,355,760,275,404,114.813278008299,85.850622406639,28.9626556016597,0.561725452812202,0.318385650224215,0.180912863070539,0.195424213536702,0.437774524158126,0.254480286738351,0.192946058091286,0.134211810639336
"7","Dukes Unlimited",24,8,2612,2256,2414,739,241,1400,691,406,338,907,411,575,598,211,1271,695,499,338,820,427,595,108.202154101077,93.4548467274234,14.7473073736537,0.526303204208513,0.291882556131261,0.168185584092792,0.196556671449067,0.465157680569685,0.2714859437751,0.206710853355427,0.217192268565615
"8","Landstede Basketbal",24,8,2556,2244,2375,694,242,1375,665,390,313,906,442,586,608,225,1252,746,458,313,833,353,516,107.621052631579,94.4842105263158,13.1368421052632,0.518137254901961,0.273123909249564,0.164210526315789,0.216666666666667,0.473223223223223,0.256767842493847,0.192842105263158,0.176676676676677
"9","Rotterdam Basketbal",14,18,2462,2641,2486,672,252,1346,798,442,361,940,362,534,691,281,1352,839,384,361,933,416,577,99.0345937248592,106.234915526951,-7.20032180209172,0.489738805970149,0.278979907264297,0.177795655671762,0.16884328358209,0.507759014148791,0.277478862413528,0.154465004022526,0.189867640346874
