"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct","wed_ID.1","plg_ID.1","spl_Minuten","spl_FTA","spl_FTM","spl_FG2A","spl_FG2M","spl_FG3M","spl_FG3A","spl_OR","spl_DR","spl_TO","spl_ID","spl_PF","spl_Ast","spl_Stl","spl_Blk","spl_MinutesRatio","spl_Plays","spl_USGpct","spl_PTS","spl_PPP","spl_FTperFG","spl_FG3AperFG","spl_EFGpct","spl_TSpct","spl_Finishes","spl_Astpct","spl_TRpct","spl_DRpct","spl_ORpct","spl_Stlpct","spl_Blkpct"
"11",11,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,11,0,0,4,2,0,0,0,0,3,"10757 Joel  Brandt",1,0,1,0,0.275,7,0.337057010785824,4,0.571428571428571,0,0,0.5,0.5,7,0,0,0,0,0.0558366777176758,0
"12",12,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,14,0,0,1,1,0,3,0,1,1,"10757 Stefan  Mulder",0,1,0,0,0.35,5,0.189164648910412,2,0.4,0,0.75,0.25,0.25,6,0.101522842639594,0.0634920634920635,0.158730158730159,0,0,0
"13",13,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,16,0,0,2,1,0,0,0,0,1,"10757 Jesse  Markusse",1,0,0,0,0.4,3,0.0993114406779661,2,0.666666666666667,0,0,0.5,0.5,3,0,0,0,0,0,0
"14",14,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,28,0,0,3,3,0,2,1,2,2,"10757 Gian  Slagter",2,1,0,0,0.7,7,0.132415254237288,6,0.857142857142857,0,0.4,0.6,0.6,8,0.053475935828877,0.0952380952380952,0.158730158730159,0.0529100529100529,0,0
"15",15,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,30,6,2,4,2,2,4,4,2,1,"10757 Max van Schaik",5,0,1,0,0.75,11.76,0.207627118644068,12,1.02040816326531,0.75,0.5,0.625,0.557620817843866,11.76,0,0.177777777777778,0.148148148148148,0.197530864197531,0.0204734484964811,0
"16",16,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,31,0,0,9,5,1,3,0,2,1,"10757 Dimeo van der Horst",3,2,1,0,0.775,13,0.222115910333516,13,1,0,0.25,0.541666666666667,0.541666666666667,15,0.110957004160888,0.0573476702508961,0.14336917562724,0,0.019813014674014,0
"17",17,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,33,4,1,2,1,3,6,1,0,1,"10757 Sergio de Randamie",1,0,1,0,0.825,10.84,0.173985618900873,12,1.1070110701107,0.5,0.75,0.6875,0.609756097560976,10.84,0,0.0269360269360269,0,0.0448933782267116,0.0186122259058919,0
"18",18,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,36,2,0,6,5,5,8,0,2,3,"10757 Aron  Roye",2,2,0,0,0.9,17.92,0.263653483992467,25,1.39508928571429,0.142857142857143,0.571428571428571,0.892857142857143,0.837801608579088,19.92,0.111731843575419,0.0493827160493827,0.123456790123457,0,0,0
"19",19,736133,2571,2571,3808,25,18,43,24,11,31,15,29,15,250,"Basketball Stars Weert","Basketba",736133,3808,2571,3808,28,16,46,27,10,30,14,26,8,250,"BV Leeuwarden","BV Leeuw",11.5,12.88,99,100,FALSE,TRUE,100.5,96.88,85.2329268292683,83.293488372093,84,FALSE,67.4105660805445,117.857142857143,119.047619047619,-1.19047619047619,FALSE,0.547297297297297,0.365853658536585,0.178571428571429,0.243243243243243,0.552631578947368,0.325581395348837,0.0952380952380952,0.210526315789474,0.502923976608187,0.362573099415205,0.134502923976608,0.558139534883721,0.354838709677419,0.72,736133,2571,1,0,0,0,0,0,1,0,0,0,"2571 Jules  Schild",0,0,0,0,0.02,1,0.497512437810945,0,0,0,1,0,0,1,0,0,0,0,0,0
"20",20,736133,2571,2571,3808,25,18,43,24,11,31,15,29,15,250,"Basketball Stars Weert","Basketba",736133,3808,2571,3808,28,16,46,27,10,30,14,26,8,250,"BV Leeuwarden","BV Leeuw",11.5,12.88,99,100,FALSE,TRUE,100.5,96.88,85.2329268292683,83.293488372093,84,FALSE,67.4105660805445,117.857142857143,119.047619047619,-1.19047619047619,FALSE,0.547297297297297,0.365853658536585,0.178571428571429,0.243243243243243,0.552631578947368,0.325581395348837,0.0952380952380952,0.210526315789474,0.502923976608187,0.362573099415205,0.134502923976608,0.558139534883721,0.354838709677419,0.72,736133,2571,22,1,0,6,4,0,0,2,3,1,"2571 Roel  Aarts",3,1,0,1,0.44,7.46,0.168701944821348,8,1.07238605898123,0.166666666666667,0,0.666666666666667,0.619195046439629,8.46,0.087719298245614,0.135281385281385,0.158562367864693,0.110864745011086,0,0.0494071146245059
