"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"203",203,591188,2571,3520,2571,24,17,52,27,3,11,13,31,16,200,"Basketball Stars Weert","Basketba",591188,3520,3520,2571,15,7,46,26,3,19,9,21,18,200,"Den Helder Kings Noordkop","Den Held",11.04,6.9,80,68,TRUE,FALSE,90.04,89.9,76.5391176470588,81.233,79,TRUE,78.8860588235294,101.26582278481,86.0759493670886,15.1898734177215,TRUE,0.5,0.382352941176471,0.20253164556962,0.26984126984127,0.469230769230769,0.225,0.227848101265823,0.107692307692308,0.702323068611561,0.148568341437061,0.149108589951378,0.519230769230769,0.272727272727273,0.708333333333333
"204",204,591188,3520,3520,2571,15,7,46,26,3,19,9,21,18,200,"Den Helder Kings Noordkop","Den Held",591188,2571,3520,2571,24,17,52,27,3,11,13,31,16,200,"Basketball Stars Weert","Basketba",6.9,11.04,68,80,FALSE,TRUE,89.9,90.04,81.233,76.5391176470588,79,TRUE,78.8860588235294,86.0759493670886,101.26582278481,-15.1898734177215,FALSE,0.469230769230769,0.225,0.227848101265823,0.107692307692308,0.5,0.382352941176471,0.20253164556962,0.26984126984127,0.639777468706537,0.264255910987483,0.0959666203059805,0.565217391304348,0.157894736842105,0.466666666666667
"205",205,591189,3107,3107,3138,31,24,46,27,5,16,10,27,14,200,"BS Leiden","BS Leide",591189,3138,3107,3138,30,18,41,24,2,13,6,23,19,200,"BV Aris","BV Aris",14.26,13.8,93,72,TRUE,FALSE,90.26,86.8,80.5327272727273,81.3527272727273,81,FALSE,80.9427272727273,114.814814814815,88.8888888888889,25.9259259259259,FALSE,0.556451612903226,0.303030303030303,0.172839506172839,0.387096774193548,0.5,0.181818181818182,0.234567901234568,0.333333333333333,0.603199580382901,0.2098085496984,0.186991869918699,0.58695652173913,0.3125,0.774193548387097
"206",206,591189,3138,3107,3138,30,18,41,24,2,13,6,23,19,200,"BV Aris","BV Aris",591189,3107,3107,3138,31,24,46,27,5,16,10,27,14,200,"BS Leiden","BS Leide",13.8,14.26,72,93,FALSE,TRUE,86.8,90.26,81.3527272727273,80.5327272727273,81,FALSE,80.9427272727273,88.8888888888889,114.814814814815,-25.9259259259259,TRUE,0.5,0.181818181818182,0.234567901234568,0.333333333333333,0.556451612903226,0.303030303030303,0.172839506172839,0.387096774193548,0.604719764011799,0.191740412979351,0.20353982300885,0.585365853658537,0.153846153846154,0.6
"207",207,591190,2393,8594,2393,23,20,31,9,10,19,8,21,15,200,"Matrixx Magixx","Matrixx ",591190,8594,8594,2393,10,8,43,26,7,24,15,26,9,200,"GasTerra Flames","GasTerra",10.58,4.6,68,81,FALSE,TRUE,75.58,80.6,67.7752941176471,65.4416666666667,67,FALSE,66.6084803921569,101.492537313433,120.89552238806,-19.4029850746269,TRUE,0.48,0.235294117647059,0.223880597014925,0.4,0.544776119402985,0.416666666666667,0.134328358208955,0.119402985074627,0.511720039617035,0.313634862991086,0.174645097391879,0.290322580645161,0.526315789473684,0.869565217391304
"208",208,591190,8594,8594,2393,10,8,43,26,7,24,15,26,9,200,"GasTerra Flames","GasTerra",591190,2393,8594,2393,23,20,31,9,10,19,8,21,15,200,"Matrixx Magixx","Matrixx ",4.6,10.58,81,68,TRUE,FALSE,80.6,75.58,65.4416666666667,67.7752941176471,67,FALSE,66.6084803921569,120.89552238806,101.492537313433,19.4029850746269,FALSE,0.544776119402985,0.416666666666667,0.134328358208955,0.119402985074627,0.48,0.235294117647059,0.223880597014925,0.4,0.600558659217877,0.335195530726257,0.0642458100558659,0.604651162790698,0.291666666666667,0.8
"209",209,591191,1771,1771,10757,18,16,45,17,6,21,5,28,15,200,"Landstede Basketbal","Landsted",591191,10757,1771,10757,11,8,43,21,5,19,11,31,23,200,"BC APOLLO A'dam","BC APOLL",8.28,5.06,68,65,TRUE,FALSE,89.28,90.06,82.8897222222222,79.1953846153846,81,FALSE,81.0425534188034,83.9506172839506,80.2469135802469,3.70370370370371,FALSE,0.393939393939394,0.138888888888889,0.185185185185185,0.242424242424242,0.459677419354839,0.282051282051282,0.283950617283951,0.129032258064516,0.605815831987076,0.282714054927302,0.111470113085622,0.377777777777778,0.285714285714286,0.888888888888889
"210",210,591191,10757,1771,10757,11,8,43,21,5,19,11,31,23,200,"BC APOLLO A'dam","BC APOLL",591191,1771,1771,10757,18,16,45,17,6,21,5,28,15,200,"Landstede Basketbal","Landsted",5.06,8.28,65,68,FALSE,TRUE,90.06,89.28,79.1953846153846,82.8897222222222,81,FALSE,81.0425534188034,80.2469135802469,83.9506172839506,-3.70370370370371,TRUE,0.459677419354839,0.282051282051282,0.283950617283951,0.129032258064516,0.393939393939394,0.138888888888889,0.185185185185185,0.242424242424242,0.641216820757531,0.283328362660304,0.0754548165821652,0.488372093023256,0.263157894736842,0.727272727272727
"211",211,591192,2571,2571,8594,15,12,52,23,3,10,8,23,11,200,"Basketball Stars Weert","Basketba",591192,8594,2571,8594,15,12,38,23,10,22,3,33,10,200,"GasTerra Flames","GasTerra",6.9,6.9,67,88,FALSE,TRUE,79.9,76.9,72.3839024390244,73.5665384615385,73,FALSE,72.9752204502814,91.7808219178082,120.547945205479,-28.7671232876712,FALSE,0.443548387096774,0.195121951219512,0.150684931506849,0.193548387096774,0.633333333333333,0.115384615384615,0.136986301369863,0.2,0.754716981132075,0.145137880986938,0.100145137880987,0.442307692307692,0.3,0.8
"212",212,591192,8594,2571,8594,15,12,38,23,10,22,3,33,10,200,"GasTerra Flames","GasTerra",591192,2571,2571,8594,15,12,52,23,3,10,8,23,11,200,"Basketball Stars Weert","Basketba",6.9,6.9,88,67,TRUE,FALSE,76.9,79.9,73.5665384615385,72.3839024390244,73,FALSE,72.9752204502814,120.547945205479,91.7808219178082,28.7671232876712,TRUE,0.633333333333333,0.115384615384615,0.136986301369863,0.2,0.443548387096774,0.195121951219512,0.150684931506849,0.193548387096774,0.568011958146487,0.328849028400598,0.103139013452915,0.605263157894737,0.454545454545455,0.8
